AGI,Tissue1,Tissue2,Tissue3,Tissue4,Tissue5,Tissue6,Tissue7,Tissue8,Tissue9,Tissue10,Tissue11,Tissue12,Tissue13,Tissue14,Tissue15,Tissue16,Tissue17,Tissue18,Tissue19,Tissue20,Tissue21,Tissue22,Tissue23,Tissue24,Tissue25,Tissue26,Tissue27,Tissue28,Tissue29,Tissue30,Tissue31
TF26,3.125,3.39,3.325,209.635,3.19,3.28,2.605,2.495,2.43,11.835,231.315,6.115,2.895,2.405,2.57,2.445,241.415,5.435,2.545,2.49,2.07,2.6,77.55,4.865,2.74,2.45,2.625,2.415,2.44,2.425,2.36
TF27,3.5,19.775,3.615,585.44,17.505,3.35,3.275,2.93,4.35,9.99,922.105,37.305,5.315,2.495,10.935,4.57,1195.43,65.715,3.47,2.67,2.715,2.995,125.035,63.635,30.48,2.765,2.705,3.4,2.88,2.935,3.285
TF28,2.805,2.925,2.935,295.985,3.885,2.915,2.385,3.22,3.01,3.445,342.775,9.545,2.825,2.685,3.05,2.925,529.535,15.96,3.11,2.72,2.575,2.395,127.405,6.42,4.58,3.105,2.685,2.69,10.36,5.32,2.605
TF29,12.18,56.195,190.02,106.755,4.135,5.835,8.17,12.915,39.08,112.325,93.38,9.785,6.835,5.67,12.385,19.27,59.525,5.63,3.9,4.735,3.97,5.35,18.685,5.585,6.845,4.545,4.83,4.725,4.405,3.855,7.955
TF30,5.92,41.765,14.135,389.26,20.73,10.54,4.715,17.42,60.49,13.245,484.685,38.66,11.07,5.73,15.395,8.555,532.635,23.205,17.055,6.43,8.815,7.285,240.24,60.535,10.83,12.2,8.22,14.455,13.165,14.415,22.085
TF31,36.68,42.06,59.47,1121.495,77.61,46.59,22.895,37.565,19.03,43.22,1667.41,155.495,57.005,49.935,72.76,57.265,1091.8,86.225,97.365,45.955,44.145,82.905,1272.57,48.19,113.755,21.575,34.55,30.085,238.655,132.99,80.11
TF32,3.97,8.755,4.985,1051.99,23.75,6.075,3.72,3.885,6.075,9.91,1106.055,39.07,15.63,4.06,14.86,9.36,1487.8,96.38,5.78,3.8,4.075,5.09,770.9,37.225,19.525,4.97,4.585,4.195,4.36,4.335,4.25
TF33,9.55,148.175,51.275,96.98,2.925,3.555,3.775,9.735,36.515,7.875,254.11,8.635,4.045,3,4.525,3.295,341.235,5.535,3.29,3.42,4.115,3.37,33.82,6.135,4.75,3.555,3.235,2.945,3.26,3.715,3.12
TF34,7.22,21.24,90.955,19.78,2.82,4.175,3.915,11.525,56.02,86.785,13.72,3.425,6.275,3.84,15.685,124.375,11.47,3.305,3.895,3.06,5.475,6.15,4.075,3.135,4.87,2.775,3.295,3.845,3.955,2.755,3.175
TF35,12.545,30.855,40.93,265.615,8.66,7.825,10.285,9.815,36.87,25.905,503.845,23,8.94,5.12,21.105,15.96,310.61,15.59,7.93,7.68,7.445,8.51,44.15,10.88,9.01,8.265,6.88,7.43,6.72,6.8,8.94
TF36,12.11,208.835,28.76,4.105,3.62,4.01,10.175,120.08,497.87,29.02,4.7,4.05,5.61,4.98,11.365,7.54,6.575,4.16,4.1,3.995,4.165,4.37,4.345,4.68,3.985,3.505,4.37,3.855,5,3.42,4.58
TF37,3.38,21.42,5.535,203.89,3,3.06,2.835,3.45,10.595,4.32,567.775,12.03,3.35,3.08,4.36,4.39,441.895,13.55,3.06,2.47,2.48,3.195,11.445,5.48,5.605,2.9,2.74,3.165,3.85,3.53,3.235
TF38,7.935,10.68,8.09,216.21,5.81,5.09,6.305,12.425,16.87,17.72,328.965,14.485,6.355,4.765,10.295,8.64,635.785,6.79,8.465,4.995,4.36,5.02,23.805,4.71,6.495,4.09,4.67,4.71,5.155,5.7,4.97
TF39,7.115,74.585,68.48,82.295,6.15,4.03,4.135,11.815,93.09,43.845,36.215,6.215,3.57,7.115,43.815,95.57,48.525,4.135,4.64,4.185,4.8,5.73,78.665,5.005,6.31,4.955,4.45,4.61,8.885,4.4,4.11
TF40,3.155,4.875,29.92,3.315,2.84,2.88,3.775,2.75,3.125,47.075,3.48,2.81,3.295,2.57,2.57,2.73,3.72,2.495,2.915,2.975,2.805,2.895,2.615,3.04,2.32,3.175,2.79,2.57,2.79,3.285,3.245
TF41,58.705,73.18,79.325,472.055,45.835,16.845,56.125,42.66,152.655,45.75,585.13,72.255,31.65,49.99,25.84,49.875,664.645,40.645,23.785,35.42,26.865,20.585,240.58,49.615,20.44,22.66,36.225,35.77,45.86,16.96,25.31
TF42,10.28,326.89,5.135,4.625,2.92,3.43,3.095,32.93,327.235,3.005,3.74,3.125,3.075,2.505,2.495,2.5,3.09,2.945,2.935,2.85,2.88,2.96,3.495,3.46,3.095,3.115,3.12,2.725,3.195,2.97,3.215
TF43,34.28,190.625,269.515,1387.835,72.84,7.32,11.74,50.54,98.17,180.57,1197.975,84.53,9.325,2.97,30.555,30.79,1025.93,11.665,3.765,3.35,5.8,7.735,545.33,28.12,14.04,3.54,3.68,3.255,5.625,5.465,3.9
TF44,21.39,11.615,37.96,338.465,7.92,6.04,11.555,13.955,22.9,36.565,384.595,27.7,7.29,12.385,5.85,7.145,573.99,15.425,5.705,8.465,4.75,7.095,113.99,15.245,7.67,5.525,5.045,4.525,3.68,4.305,5.025
TF45,3.475,10.48,3.51,1237.78,12.32,3.58,3.155,3.25,3.21,4.65,955.35,39.18,3.14,2.415,2.74,3.075,824.895,6.615,3.24,2.89,2.925,3.35,1459.64,71.23,9.445,3.51,2.605,3.07,1194.4,420.31,3.785
TF46,4.585,8.165,34.195,96.975,5.32,5.835,4.935,5.125,7.12,31.685,249.365,10.83,8.025,4.495,10.735,17.065,491.295,13.53,4.63,5.405,4.595,10.16,343.75,34.42,7.47,5.005,6.16,4.68,5.095,4.435,5.15
